Ticker,3M_Return,6M_Return,9M_Return,12M_Return,Weighted_Return,ADTV_Crore,Liquidity_Pass,RS_Rank,Strong_Stock
RPTECH.NS,105.35085333877264,110.22050696677694,133.93518895278743,150.6033994431463,121.09216040805119,84.31712716068603,True,99,True
INDOTECH.NS,92.45733600334735,114.52314121148461,82.5176758875467,74.09378550200869,91.20985492154695,13.031785104281123,True,99,True
HFCL.NS,195.26431377985878,211.201394988112,194.2919920561334,149.3663415887679,189.0776712385462,967.7468260281997,True,99,True
AEGISLOG.NS,125.40816741735759,84.69900634149852,79.39903171539773,70.84300660852303,97.1514759000269,245.87349581113332,True,99,True
SANSERA.NS,51.190358614022394,84.16879071084678,136.95526276787726,133.35007485501413,91.37096911235659,85.92662675348947,True,99,True
SYRMA.NS,70.20223628218936,91.2704967060191,79.30674436069056,134.43222955665465,89.08278863754862,174.11862700670656,True,99,True
KIRLOSENG.NS,59.536578054023124,83.0324876482436,142.3992261673231,162.1232690001286,101.3256277847483,151.22335290842506,True,99,True
IOLCP.NS,103.13501890315924,114.28033776149763,66.514155523045,85.95499677249816,94.60390557267186,77.73262484207336,True,99,True
STLTECH.NS,22.814066760019248,292.11580270158987,491.31627272345366,386.5399954306494,243.1200408751463,128.33516500245352,True,99,True
BALAMINES.NS,112.0307293750002,97.72912027748914,57.947021904293415,20.230134310787662,79.99354704851413,87.76024181410588,True,98,True
RRKABEL.NS,77.28097762635404,59.484106101887036,85.76977988537932,69.31358734307263,73.8258857166094,173.09552862248708,True,98,True
SCHNEIDER.NS,59.7498470090273,107.01410511606272,80.55081887225532,77.93790093605561,77.00050378848564,58.916665520365584,True,98,True
ASTRAMICRO.NS,74.69248921761502,79.5083571939208,60.48580051523902,72.73511161800337,72.42284955247865,164.12285341571973,True,98,True
RATEGAIN.NS,85.5016775945627,34.052704813813214,45.95579492717623,108.89011937690762,71.98039486140449,55.19750112763226,True,98,True
SPARC.NS,89.40496939337739,77.27171538261783,84.81314640296327,48.74169266846109,77.9272986481594,140.3868151012284,True,98,True
WELCORP.NS,63.71495294985543,80.05880938109655,67.87777334972994,57.87857294834109,66.64901231577569,108.49939519921271,True,97,True
LAURUSLABS.NS,45.85087900556759,38.89589471523725,83.21454872810432,106.72878145748568,64.1081965823925,311.6544866800111,True,97,True
ADANIENSOL.NS,59.067178588403046,49.92354856896944,79.85669805997419,79.82576856090664,65.54807447333128,467.5520463944536,True,97,True
RISHABH.NS,59.39378886974638,52.488852198687994,62.749036981294836,123.52436396238863,71.50996617637286,13.547730027030799,True,97,True
IDEA.NS,65.12166640826476,22.844823546415416,75.27675030026664,91.27517268226093,63.9280158690945,728.3683172884074,True,97,True
BBOX.NS,73.17187311288336,74.54820760846026,63.51711830087466,75.27791437796911,71.93739730261416,101.6415668701121,True,97,True
DATAPATTNS.NS,40.44435707355045,73.26618809021339,76.7867016805234,53.86978422507045,56.962277628581624,486.26685541489127,True,96,True
UNIPARTS.NS,33.62287227242435,71.69632037768916,69.46580283716422,92.65122029205438,60.21181761035129,13.076831459381484,True,96,True
APARINDS.NS,39.61780929866037,70.20714500150105,73.1492792572685,61.79441812681925,56.87729219658191,201.53093759664,True,96,True
ADANIGREEN.NS,68.17420351542984,51.6911896030698,51.550858272541866,53.21452520123364,58.560996021541,516.7351206438831,True,96,True
EMIL.NS,60.943024976944436,84.9163161895493,49.39190406375433,48.33558643021263,60.90597132748103,98.61328240597499,True,96,True
SHILPAMED.NS,55.60240263442297,92.79721400652943,61.69676110935851,39.1567650168136,60.9711090803095,62.871853641978774,True,96,True
INOXINDIA.NS,52.68483456205557,64.97663700533455,61.209722501968145,52.11382113821139,56.733969953925055,65.85051205663333,True,95,True
HONASA.NS,52.56897713929336,61.31004366812227,66.6666740101256,48.61602248419559,56.34613888820604,119.10569866677363,True,95,True
E2E.NS,62.830345294810066,91.07643232228591,19.214807830588065,43.01224999028867,55.79283614655656,61.87530259918369,True,95,True
SPECTRUM.NS,46.23018944370263,61.353615880465775,84.07219039707854,40.25647675459527,55.62853238390897,10.206456736174598,True,95,True
MSTCLTD.NS,79.4184064070849,39.20061815083251,50.230902891771166,32.53703929759837,56.161074630874374,79.50976968932171,True,95,True
ADANIPOWER.NS,35.76762515761078,49.09249897555015,53.32872633568999,87.51267803103309,52.29383073149896,847.9919411796974,True,94,True
KIRLPNU.NS,58.77391516644022,75.70247403832622,51.72843504827884,25.250374760368555,54.04582283597081,47.9063557032063,True,94,True
AETHER.NS,25.331850515186648,51.24311220019395,80.8098880928809,79.4259288137166,52.42852602743295,45.27563367956846,True,94,True
SASKEN.NS,60.16671404229914,42.06052872507205,50.67056814538293,39.819087881408485,50.57672256729235,55.70125413686538,True,94,True
